"sample.id","Province/State","Country/Region","Lat","Long","nb.cases.per.day","power.law.exponent","growth.rate.incidence.package","doubling.time","earlyR0.nishiura","earlyR0.wang","earlyR0.du","growth.rate.R0.package","R0.EG.nishiura","R0.EG.wang","R0.EG.du","R0.ML.nishiura","R0.ML.wang","R0.ML.du","total.nb.cases","first.date","end.date","observational.period"
"global_23","","Belarus","53.7098","27.9534","8.33333333333333","0.134800133960695","0.0521178115453958","13.299621760906","1.66166166166166","2.05205205205205","1.8018018018018","0.108205494758735","1.72658284279642","2.097003433366","1.82487525013691","1.98049493806596","2.50837889618656","2.15502983486551","125","2020-03-16","2020-03-30","15"
"global_24","","Belgium","50.8333","4","118.133333333333","0.873591456731473","0.170073060763134","4.07558479543865","1.68168168168168","2.38238238238238","2.02202202202202","0.172062020403605","2.32150451610254","2.96919965762195","2.46435051852343","2.32408564124677","3.11237577327812","2.49035114501349","1772","2020-03-05","2020-03-19","15"
"global_25","","Benin","9.3077","2.3158","0","0","-Inf","Inf","0","0","0","-Inf","0","0","0","0","0","0","0",NA,NA,NA
"global_26","","Bhutan","27.5142","90.4336","0","0","-Inf","Inf","0","0","0","-Inf","0","0","0","0","0","0","0",NA,NA,NA
"global_27","","Bolivia","-16.2902","-63.5887","11.8461538461538","0.334697080898037","0.0555614436843898","12.4753270360879","1.52152152152152","2.05205205205205","1.75175175175175","0.0518755303891322","1.30887520125135","1.46813073462822","1.35687102365201","1.74862209566647","2.37605884390477","1.94256885307475","154","2020-03-25","2020-04-06","13"
"global_28","","Bosnia and Herzegovina","43.9159","17.6791","28.8666666666667","0.464198446904517","0.0983678706632823","7.04647946413946","1.49149149149149","2.02202202202202","1.74174174174174","0.0906541351891071","1.58643384278843","1.88726073490263","1.66971587020579","1.85071595474881","2.406727804742","1.97696977088706","433","2020-03-18","2020-04-01","15"
"global_29","","Brazil","-14.235","-51.9253","148.133333333333","1.67338799082489","0.304982524718173","2.27274392590351","0","0","0","0.249458774679822","3.2468627906835","4.26747228424904","3.40773731508712","3.01333285861428","4.00801139551368","3.11248148831924","2222","2020-03-10","2020-03-24","15"
"global_30","","Brunei","4.5353","114.7277","6.93333333333333","-0.449538049905211","-0.0691566154571147","Inf","0.900900900900901","1.12112112112112","0.990990990990991","-0.0874099984634368","0.614702352904882","0.438766214549196","0.545844415537239","0.982912460137149","1.22418834007876","1.05308929247943","104","2020-03-13","2020-03-27","15"
"global_31","","Bulgaria","42.7339","25.4858","20.5333333333333","0.528705236842391","0.112037039796774","6.18676807078495","1.34134134134134","1.8018018018018","1.55155155155155","0.0683095839143203","1.42130375983179","1.63839233026082","1.48449765759893","1.60256071939036","2.14569783858871","1.76525461499541","308","2020-03-14","2020-03-28","15"
"global_32","","Burkina Faso","12.2383","-1.5616","17.8666666666667","0.109830763486048","0.00564997017066576","122.681564614043","1.19119119119119","1.57157157157157","1.36136136136136","0.00699755894429863","1.03782814816342","1.05710655120574","1.04417152531755","1.37514888419135","1.82402291011852","1.51138165463055","268","2020-03-19","2020-04-02","15"
"global_33","","Cabo Verde","16.5388","-23.0418","0","0","-Inf","Inf","0","0","0","-Inf","0","0","0","0","0","0","0",NA,NA,NA
"global_34","","Cambodia","11.55","104.9167","6.8","-0.409339771757788","-0.0651720899029332","Inf","0.830830830830831","1.001001001001","0.890890890890891","-0.146697569963384","0.430800370883815","0.207976225713692","0.33234910136572","0.860231786394334","1.08397886499467","0.938044754826303","102","2020-03-17","2020-03-31","15"
"global_35","","Cameroon","3.848","11.5021","41.5333333333333","0.894392873597721","0.173897429666031","3.98595414487225","1.79179179179179","2.6026026026026","2.2022022022022","0.217781602035576","2.8386539102686","3.70300759198668","2.99831397346981","2.80713398748927","3.63441149358863","2.86882078835781","623","2020-03-22","2020-04-05","15"
"global_36","Alberta","Canada","53.9333","-116.5765","39.5333333333333","0.840993687241291","0.150386782640888","4.60909641384594","1.39139139139139","1.93193193193193","1.65165165165165","0.0912750307439924","1.59123171665749","1.89446512613414","1.67505817719023","1.73517446676126","2.35911845932248","1.90836798210688","593","2020-03-15","2020-03-29","15"
"global_37","British Columbia","Canada","49.2827","-123.1207","29.6666666666667","1.17078065251797","0.219073467403609","3.16399420146543","1.57157157157157","2.32232232232232","1.95195195195195","0.190491374152438","2.52019000502213","3.25372642533076","2.67168808249363","2.39765971228118","3.24376180023964","2.52618094066093","445","2020-03-09","2020-03-23","15"
"global_38","Grand Princess","Canada","37.6489","-122.6655","0","0","-Inf","Inf","0","0","0","-Inf","0","0","0","0","0","0","0",NA,NA,NA
