"sample.id","Province.State","Country.Region","Lat","Long","temp.min","temp.max","temp.ave","d.temp.range","temp.seasonality","precipitation","precipitation.seasonality","aridity","solar.rad","wind.speed","water.vapor.pressure","humidity","elevation","warming.velocity","human.footprint","gdp.per.capita","human.dev.index","population.density","pm25"
"global_97","","Dominican Republic",18.7357,-70.1627,17.6094766291239,28.8822450535272,23.2447929664325,11.2727684244033,122.424379820465,81.3145161290323,41.2009761820557,9531.6990780446,19951.6908602151,3.17983253348258,2.05533132533873,0.714319094123151,366.05376344086,32848.9370287603,46.2507251047373,5323.25830078125,0.596000015735626,799.101050231156,2.52991151802419
"global_98","","Ecuador",-1.8312,-78.1834,11.6632915707635,20.6717928956575,16.1678255936106,9.00850132489399,42.0193545266133,206,23.2205001534818,22866.3160069595,12339.7220708447,2.01740598776035,1.67980054402546,0.86541365685476,2048.50953678474,8233.88313614728,19.8027617701424,5877.16296657986,0.64300000667572,23.7069992498578,9.01690163476425
"global_99","","Egypt",26,30,9.31617472009751,26.0588252150897,17.6874271689109,16.7426504949922,700.086517778415,0.66504854368932,25.016416952448,4.85441176470588,21959.9223300971,3.31645629243943,0.691968930433097,0.341888284976337,367.868932038835,72826.9597688366,3.12392156862745,6014.30126953125,0.546999990940094,0,5.95090267217714
"global_100","","El Salvador",13.7942,-88.8965,19.7884096191043,32.2366034088942,26.0131289567897,12.4481937897899,87.5893272521004,53.4338624338624,94.1670517896218,10211.1077280896,22021.6746031746,2.22349668116797,2.27342322358379,0.67443819929495,420.119047619048,31184.7016720934,48.2572306388389,3457.72703909367,0.506555470380377,452.970576523473,7.74133763869385
"global_101","","Equatorial Guinea",1.5,10,20.6791440193569,29.3351608369409,25.0077566906689,8.65601681758395,86.0306353685333,263.119241192412,59.5323145899992,20006.6304712862,15200.7669376694,1.47863458036407,2.78596056315311,0.877301464129827,332.845528455285,99275.129729983,26.2011494252874,1055.64331054688,0.500906050205231,40.8522860105768,16.4289768980894
"global_102","","Eritrea",15.1794,39.7823,18.3952764378318,29.4819074823887,23.9380563904967,11.0866310445568,191.440755481961,23.876582278481,59.8613950270641,2184.44799760909,24650.996835443,3.41126747372784,2.52879839946952,0.843733922808681,482.996835443038,18412.4316423862,24.6983445738811,1185.68615722656,0.361735045909882,38.2633905992275,9.29998001183599
"global_103","","Estonia",58.5953,25.0136,-4.8366150009233,1.70093901145233,-1.56714373853009,6.53755401237563,832.776921390272,34.7772925764192,31.4798369650584,9577.2833977286,8020.53857350801,3.2147308072669,0.423792171382835,0.776925820064713,47.5793304221252,2915651.31720502,27.7458628150401,12369.7015337776,0.727999985218048,22.9262751223381,7.04183210643111
"global_104","","Eswatini",-26.5225,31.4659,15.2009336743367,27.0014643469958,21.1011597682569,11.8005306726592,286.564709225216,48.6511056511057,73.530509929985,5071.72169580932,16184.4078624079,1.44438328409078,1.74381719848155,0.694349797386293,614.363636363636,70698.6654524691,31.722178836392,6315.677734375,0.547999978065491,81.0176204709515,13.674859396183
"global_105","","Ethiopia",9.145,40.4897,17.2082168532581,30.9066666652194,24.0581680235824,13.6984498119613,174.311801321138,83.4661246612466,72.2144514874714,3714.62204555221,21343.1490514905,1.87762601362657,1.78399565420177,0.592178394037419,1285.68021680217,79362.4251377832,35.9627082213864,652.352233886719,0.268987506628036,134.613676267588,20.5694010322298
"global_106","","Fiji",-17.7134,178.065,21.7224095768399,27.3674589951833,24.5449211544461,5.64504941834344,150.612428050571,306.466666666667,39.2046905782488,18095.716479622,14977.525,3.08870276146465,2.69357114301787,0.87408952164109,299.388888888889,27784.1069509134,25.9908554927205,6241.05419921875,0.640999972820282,23.9283836865359,0.227890155120246
"global_107","","Finland",64,26,-8.44356523562169,-0.405207734671984,-4.4241690762377,8.0383575009497,925.587434999033,29.9842995169082,34.8499945073888,9521.38253157235,6770.57004830918,2.74532370002949,0.345815941295474,0.784244484071757,132.515700483092,2279469.99610092,22.1655012779091,22157.2416800705,0.770074129104614,5.55754484689754,6.42375760139422
"global_108","French Guiana","France",3.9339,-53.1258,21.5130820248296,28.8936939604295,25.2036720442642,7.38061193559991,48.8318155528418,353.196721311475,46.373815411427,17701.2956125109,17143.9672131148,1.59676504949403,2.75508632620827,0.859265961717148,183.655737704918,209670.005223626,7.56609507271543,1728.73205566406,0.778999984264374,0.132234675616352,0.933792242120592
"global_109","French Polynesia","France",-17.6797,149.4068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"global_110","Guadeloupe","France",16.25,-61.5833,20.7752342475088,28.6392264617117,24.7060846864131,7.86399221420288,114.810640301621,62.2631578947368,35.9689773425721,7748.3496835443,21316.7368421053,4.84356851326792,2.3326352489622,0.748149270776749,132.298245614035,90151.5696464393,53.9105466593043,8750.72013346354,0.778999984264374,262.849840551615,0.628454821971693
"global_111","Mayotte","France",-12.8275,45.1662,22.7687427997589,30.8767098426819,26.8237050056458,8.10796704292297,122.859533882141,120.25,85.3594631195068,6499.33404710921,22838.575,2.8659350335598,2.54928956031799,0.722415315136452,90.05,28914.6564288885,35.4303178484108,1531.46130371094,0.778999984264374,758.245496622721,2.22589284740388
"global_112","New Caledonia","France",-20.9043,165.618,19.8477576176325,26.7124115029971,23.2804290850957,6.86465388536453,227.117556254069,160.020833333333,48.2275410095851,10773.8116290245,16882.7395833333,3.83822421977917,2.24363424132268,0.785131976761614,229.114583333333,21727.5615255952,28.9137839276211,NA,NA,4.50627822160721,0.503155941346494
"global_113","Reunion","France",-21.1351,55.2471,18.6389617998092,25.1231164463231,21.8805494777492,6.48415464651389,230.622200262351,226.745901639344,53.2611984190394,11911.1240849195,19361.2868852459,3.4978404123275,2.08094206110376,0.779834493339371,808.918032786885,3292.14660098148,41.6492424242424,16946.158203125,0.778999984264374,470.465384246826,0.420306127199105
"global_114","Saint Barthelemy","France",17.9,-62.8333,23.0530904769897,29.2186237335205,26.1379992167155,6.16553325653076,99.9511049906413,61.1,35.8799390157064,4876.87360594796,22986.9,5.03440243403117,2.49761150677999,0.737029893550491,35.4,41653.7409827881,59.4418604651163,12687.2734375,0.66262686252594,441.175730048286,0.482957395395838
"global_115","St Martin","France",18.0708,-63.0501,23.1350428899129,29.2225403467814,26.181737391154,6.08749745686849,98.284806060791,60.2,36.0582834879557,4775.60905349794,22995.0333333333,5.02003339131673,2.50037639141083,0.735941727493656,26.8,41653.7409827881,59.4418604651163,11860.482421875,0.666590094566345,435.307678222656,0.475064269757822
"global_116","Martinique","France",14.6415,-61.0242,21.3894457135882,28.4500730687922,24.9189727832745,7.060627355204,90.2458463396345,75.8051948051948,41.5766269634296,10239.4203869048,21319.4545454545,4.79818088977368,2.36224155456989,0.748444200619268,146.974025974026,28638.2769244359,63.1232876712329,7505.57632882254,0.778999984264374,341.944407618323,0.816019030339561
"global_117","","France",46.2276,2.2137,2.26840908949574,11.3172045313951,6.79273485143979,9.04879544189934,569.372286131888,50.6988636363636,15.9495262720368,7741.43916868932,11531.2007575758,3.6047121033524,0.707992428857269,0.715963419878288,441.723484848485,244482.125475152,27.245165693486,22838.9853142891,0.798019881011875,31.0684710154028,6.78742496114464
"global_118","","Gabon",-0.8037,11.6094,20.8587725652407,29.8983891003752,25.3781588985495,9.03961653513451,105.449182923199,217.079452054795,72.0788558332887,17925.9255712731,13713.6219178082,1.00145753230134,2.7054137047023,0.835051253761053,481.383561643836,31210.5581489475,3.31516536118364,19499.552734375,0.620000004768372,2.6485370894001,19.6727116423171
"global_119","","Gambia",13.4432,-15.3101,21.1408626281004,38.2153737073276,29.6776541592603,17.0745110792272,189.304875868527,0.0160427807486631,141.162062374666,3231.97231131067,23956.2914438503,2.44613085041709,1.61492555026702,0.388139216498532,31.4919786096257,216579.799020606,34.120654175241,1727.14788688497,0.352829800641283,81.385176969722,3.53589116338924
"global_120","","Georgia",42.3154,43.3569,-2.04794308423951,7.00782926429093,2.48035773496159,9.05577234853044,741.531132147564,77.7215447154472,16.2109055557871,10846.1796407186,12457.4410569106,2.13517070373869,0.505930892153969,0.679019808579156,1107.59756097561,44135.0392452449,27.4864842991259,8013.27532421875,0.619395648956299,33.6131489455762,10.5494976644204
"global_121","","Germany",51,9,-0.0729146756362106,7.49116722796964,3.70864163567995,7.56408190360585,627.335565768818,66.2832764505119,14.0027713629166,10607.5866952197,8462.62116040956,4.00261433905709,0.629174057025551,0.788983970534136,360.143344709898,327006.506842896,40.6782236342289,35739.3446061644,0.794767249528676,138.201584825744,11.2643779886735
"global_122","","Ghana",7.9465,-1.0232,23.6176368382565,35.3934959473649,29.5050839835066,11.7758591091084,136.286260878814,71.6829268292683,69.7376180922759,7093.0894685782,18602.0189701897,1.46139836666707,2.4423772364774,0.592646062678735,131.422764227642,253015.195930336,24.7279689353899,1919.5966796875,0.455000013113022,49.9887077517626,12.953436771893
"global_123","","Greece",39.0742,21.8243,2.2346355813295,11.4011101621692,6.81771184876561,9.16647458083975,693.218960519564,78.4046610169491,48.2373918678801,5920.70230305091,12750.8601694915,2.43484746197523,0.701760167666411,0.702928354717201,705.703389830509,53289.3332785212,31.0731396534149,20899.687232906,0.749943171301459,25.9462450012817,7.14404310753314
"global_124","","Guatemala",15.7835,-90.2308,19.7993419462956,30.9221409929639,25.3615352665475,11.1227990466683,141.960629435806,108.704960835509,53.3390482113193,20739.8810771165,21584.6449086162,2.13476758930764,2.26495039089542,0.693349690303212,561.97911227154,94517.9723887818,36.319211409396,1088.05830399363,0.479116756037662,122.377326342829,8.45779789267262
"global_125","","Guinea",9.9456,-9.6966,19.9393028637679,36.0606754395022,27.9997855076521,16.1213725757343,169.174661753964,88.4664879356568,91.3369957358844,9052.7499731846,20170.7238605898,2.51746917410127,2.3011635059326,0.609561393106308,449.134048257373,148271.356159313,29.3937962863583,1125.22705078125,0.270999997854233,17.867671127933,6.60828192464957
"global_126","","Guyana",5,-58.75,22.3497553480432,30.5310958801432,26.440478903182,8.18134053209995,60.2467830637668,180.43085106383,50.8282927046431,14008.8087852495,16684.5212765957,1.52661702829473,2.83674994554925,0.822235015854826,121.55585106383,314344.721868149,10.0715214564369,2928.07104492188,0.541000008583069,0.33482761209474,1.3706433189094
"global_127","","Haiti",18.9712,-72.2852,18.840774200332,30.2172242500413,24.5294521224331,11.3764500497093,111.840509248116,115.216901408451,66.293822221353,8127.60039784695,20779.0788732394,1.46654323692053,2.0582197155751,0.665746661754745,386.802816901408,21185.6171643718,39.6663518299882,1718.29418945312,0.407999992370605,827.081207832594,4.0033399476368
"global_128","","Holy See",41.9029,12.4534,7.30047630267728,16.8257226445967,12.062766687677,9.52524634191946,628.007926283555,51.6057441253264,38.2289079561557,4763.24976005119,16879.3550913838,2.6113989487018,0.997971231725758,0.706737281200779,217.352480417755,99382.137678483,54.7798855447223,34402.421875,0.783897340297699,785.543268951511,8.89732784561609
"global_129","","Honduras",15.2,-86.2419,18.7028556032757,30.712325419028,24.707590548698,12.0094698157523,157.414086169145,42.742782152231,54.1045828591494,7412.43826251578,21630.2125984252,2.44138583173276,2.05978897206114,0.65804634068951,794.653543307087,15621.7022984044,30.4867079962173,2560.0308710734,0.507000029087067,34.8284918686223,2.71570584984694
